event,id,nanoseconds
close,135,57219
close,143,57723
close,141,58351
close,138,58995
close,142,59264
close,140,59366
close,139,59794
close,137,59848
close,136,61198
read,146,23273
read,152,23879
read,149,24077
read,147,24376
read,145,24392
read,150,24535
read,148,24730
read,151,24924
read,153,25138
write,147,42350
write,148,42394
write,146,43632
write,153,43895
write,154,43973
write,151,44814
write,150,44905
write,149,45236
write,152,45555
write,155,45683
open,153,52992
open,151,53006
open,145,54077
open,146,54457
open,148,54495
open,149,54576
open,152,55326
open,147,55474
open,154,56343
open,150,58173
close,146,56431
close,149,56625
close,152,56855
close,148,56932
close,151,57790
close,150,58323
close,145,58413
close,144,58884
close,147,59014
close,153,59706
read,158,23145
read,160,23193
read,155,23983
read,154,24574
read,162,24845
read,157,24983
read,161,25195
read,156,25881
read,163,26522
read,159,41358
write,164,43254
write,162,44696
write,159,45798
write,158,46261
write,161,46878
write,156,46970
write,163,48146
write,157,48772
write,160,50303
open,161,52124
open,163,54677
open,158,55440
open,157,55542
open,155,55722
open,160,56507
open,164,56534
open,159,56646
open,156,62615
open,162,69916
close,162,57759
close,161,58085
close,157,58135
close,160,58318
close,154,58372
close,163,58787
close,158,59076
close,156,60282
close,159,61240
close,155,76137
read,164,23826
read,173,24114
read,165,24540
read,172,25020
read,170,25380
read,171,25459
read,169,25610
read,167,25885
read,168,26520
read,166,40041
write,165,42575
write,171,44258
write,166,44678
write,172,45502
write,173,45619
write,170,45843
write,168,45953
write,174,46109
write,167,46972
write,169,49426
open,173,53509
open,165,53526
open,169,54054
open,170,54205
open,167,54789
open,171,54985
open,172,55778
open,168,56558
open,166,57819
close,165,55613
close,164,57624
close,170,57842
close,172,58406
close,166,58971
close,169,59176
close,167,59282
close,168,59401
close,171,59595
close,173,61278
read,174,20796
read,180,22216
read,178,22739
read,182,22954
read,177,23195
read,175,23224
read,176,23619
read,179,24250
read,183,24729
read,181,31789
write,184,42592
write,183,43333
write,179,43430
write,176,43822
write,175,43841
write,177,44896
write,180,45191
write,182,45864
write,178,46342
write,181,54474
open,176,50631
open,178,52599
open,181,52679
open,183,53384
open,175,53397
open,182,53596
open,180,54586
open,179,54874
open,177,55285
open,174,55374
close,182,56389
close,178,56737
close,180,57603
close,174,57937
close,176,59206
close,179,59933
close,177,60014
close,181,63151
close,175,67837
read,184,22542
read,185,23669
read,191,26279
read,187,26468
read,192,26695
read,188,26812
read,189,26848
read,186,26976
read,190,27427
write,186,41043
write,185,43110
write,194,43755
write,189,44999
write,188,46298
write,192,48166
write,190,48189
write,193,48653
write,191,48942
write,187,49411
open,185,53256
open,192,55925
open,184,56851
open,191,57397
open,193,57867
open,187,58425
open,188,58433
open,189,58545
open,186,66906
open,190,71489
close,184,57051
close,192,58201
close,190,58480
close,191,59377
close,186,62266
close,187,62283
close,189,62317
close,188,63337
close,185,73059
close,183,83142
read,193,24709
read,198,24732
read,197,24824
read,202,25139
read,200,25400
read,201,25630
read,199,25685
read,196,26466
read,195,27055
read,194,27586
write,195,45133
write,198,45177
write,200,46177
write,199,46312
write,202,46574
write,196,46999
write,197,47331
write,203,48233
write,201,48768
open,197,54443
open,199,54615
open,201,56077
open,200,56225
open,203,56985
open,196,57440
open,194,57731
open,195,57888
open,198,59161
open,202,65388
close,193,57595
close,198,58329
close,196,58776
close,200,59416
close,194,59767
close,197,62212
close,195,62346
close,201,62929
close,202,62976
close,199,64632
read,209,22809
read,203,25141
read,205,25541
read,210,25580
read,211,25905
read,212,26109
read,208,26294
read,207,26333
read,206,27609
read,204,31188
write,204,41424
write,210,45365
write,206,46241
write,205,46577
write,209,46705
write,207,46791
write,212,47030
write,211,47303
write,213,48968
write,208,59492
open,210,53569
open,207,55848
open,208,56559
open,206,56994
open,209,57077
open,211,57277
open,205,59519
open,212,59625
open,204,83303
close,203,58494
close,206,58932
close,208,60571
close,212,60705
close,207,60807
close,209,61579
close,211,62628
close,205,62783
close,204,65259
close,210,73737
read,219,23369
read,213,23790
read,220,23812
read,216,24699
read,222,24799
read,221,25305
read,215,26378
read,218,27152
read,214,27436
read,217,28215
write,223,42923
write,222,43163
write,214,46227
write,215,47768
write,218,48527
write,217,48766
write,221,57758
write,216,61417
write,220,68044
write,219,80218
open,222,53667
open,215,54245
open,221,56741
open,217,56763
open,213,56881
open,216,58590
open,214,59924
open,219,69087
open,218,72841
open,220,75048
close,221,57984
close,214,58365
close,215,59365
close,216,59434
close,213,60322
close,220,60424
close,218,65001
close,219,78822
close,217,79521
read,229,23570
read,231,23724
read,223,24003
read,227,24761
read,226,25065
read,228,25521
read,225,26593
read,230,31804
read,224,34853
write,228,42884
write,224,44540
write,229,45245
write,227,45271
write,230,46240
write,231,46523
write,232,47156
write,225,47259
write,226,48747
write,233,49081
open,223,52174
open,224,52236
open,230,53469
open,227,53947
open,231,54769
open,232,55231
open,228,55676
open,229,56201
open,226,57678
open,225,69259
close,222,54336
close,223,56846
close,228,58525
close,226,58734
close,229,58739
close,227,58935
close,230,60229
close,231,60347
close,225,62479
close,224,89687
read,233,24447
read,238,24529
read,235,25031
read,239,25093
read,240,25261
read,232,25360
read,234,25648
read,236,26310
read,237,26441
read,241,27402
write,241,45256
write,236,46818
write,237,46877
write,240,46892
write,238,47767
write,235,47785
write,239,48000
write,234,48189
write,242,64518
open,237,54028
open,239,55114
open,238,55539
open,240,56110
open,235,56246
open,241,56749
open,236,57358
open,242,57508
open,234,61677
open,233,62624
close,236,58474
close,233,60549
close,239,60894
close,232,61273
close,241,61414
close,238,61522
close,237,61802
close,235,62057
close,240,62483
close,234,62661
read,242,23716
read,246,24389
read,247,24643
read,244,25597
read,248,25860
read,243,26039
read,245,26077
read,251,26611
read,250,27398
read,249,28464
write,243,45214
write,245,45451
write,247,47431
write,249,47470
write,244,47538
write,251,48408
write,250,48434
write,248,49910
write,246,50362
write,252,51923
open,249,55491
open,245,55781
open,244,57184
open,250,57449
open,243,57530
open,247,58068
open,246,59507
open,251,61185
open,248,71960
close,244,58231
close,242,59724
close,243,60351
close,248,61270
close,249,61303
close,246,62365
close,247,62567
close,250,63241
close,251,64203
close,245,65287
read,256,22674
read,260,22965
read,258,23654
read,257,24166
read,261,24701
read,255,25393
read,259,25632
read,254,26374
read,253,26418
read,252,26908
write,257,46447
write,253,46498
write,259,46891
write,255,48438
write,262,49703
write,258,50034
write,254,50231
write,256,51159
write,260,53592
write,261,55439
open,258,54830
open,259,55858
open,260,56685
open,261,57461
open,254,57807
open,256,57905
open,255,57966
open,253,58722
open,252,60560
open,257,66183
close,256,60441
close,258,60870
close,257,61151
close,252,61917
close,255,62354
close,254,62644
close,259,63522
close,253,63535
close,260,69072
read,267,23394
read,262,23458
read,265,23633
read,263,23709
read,266,24264
read,264,24455
read,269,25996
read,268,26211
read,271,26704
read,270,26948
write,271,47047
write,267,47155
write,263,47765
write,272,50604
write,270,51498
write,269,52446
write,265,52960
write,264,53293
write,268,57063
write,266,74084
open,265,55433
open,266,56504
open,268,56609
open,269,56844
open,263,57016
open,262,57719
open,271,57873
open,270,58055
open,264,58721
open,267,61423
close,265,57437
close,270,58339
close,264,58976
close,261,59003
close,263,60260
close,268,60471
close,267,60911
close,266,61022
close,269,61371
close,262,70574
read,275,23654
read,277,23708
read,276,24171
read,273,24570
read,280,24576
read,272,24862
read,278,25283
read,279,26164
read,274,28062
write,279,45137
write,278,46661
write,274,47142
write,273,48675
write,281,49136
write,277,49603
write,282,51160
write,280,52372
write,276,53348
write,275,61196
open,277,54871
open,276,56777
open,273,57819
open,279,58887
open,281,58906
open,278,59339
open,275,60059
open,280,60117
open,274,70337
open,272,71514
close,272,58956
close,278,59534
close,276,59814
close,277,60256
close,271,60897
close,275,62177
close,273,62918
close,274,63292
close,280,63585
close,279,67879
read,282,24830
read,284,25253
read,285,25272
read,283,25856
read,288,27441
read,290,28314
read,289,28812
read,287,29079
read,286,30893
read,281,36446
write,283,45899
write,286,48062
write,291,50696
write,290,51444
write,285,51537
write,287,55050
write,288,56624
write,289,56898
write,284,66045
open,285,57024
open,282,58522
open,283,58802
open,289,59048
open,284,59665
open,288,61905
open,290,62312
open,291,62854
open,287,64197
open,286,66496
close,282,60220
close,281,61175
close,284,62169
close,283,62632
close,289,63915
close,288,65782
close,287,67831
close,286,68464
close,285,75968
close,290,88819
read,296,25271
read,291,25866
read,300,25966
read,297,26423
read,298,26559
read,293,26904
read,295,27104
read,299,27775
read,294,28560
read,292,29231
write,297,50090
write,299,50326
write,298,50616
write,292,51408
write,294,51420
write,295,52235
write,301,54089
write,296,54115
write,293,55563
write,300,56022
open,296,56032
open,293,56296
open,295,57268
open,298,57481
open,300,57634
open,299,58427
open,294,59651
open,292,59938
open,297,67420
close,296,59376
close,297,59459
close,292,59716
close,295,60195
close,299,61337
close,291,61567
close,298,61866
close,300,63625
close,294,64337
close,293,65746
read,304,24210
read,306,24725
read,305,24895
read,307,25059
read,309,25444
read,301,25561
read,302,25633
read,308,25886
read,310,27381
read,303,32759
write,303,45012
write,302,48721
write,307,49079
write,311,49225
write,306,49892
write,310,50629
write,305,50924
write,308,55042
write,309,57492
write,304,64349
open,308,55849
open,301,57431
open,304,57950
open,305,58582
open,307,58845
open,306,58993
open,302,59261
open,303,59291
open,310,59411
open,309,60049
close,307,60310
close,303,60356
close,306,60409
close,309,60693
close,304,61066
close,302,61480
close,308,61878
close,305,62014
close,301,63384
read,315,22725
read,313,22981
read,314,23928
read,317,24233
read,312,25443
read,311,25984
read,319,32069
read,316,35548
read,318,39096
write,318,44737
write,314,49516
write,317,52016
write,315,52140
write,313,52768
write,316,53520
write,312,58010
write,320,58889
write,319,75192
open,313,55448
open,315,57323
open,316,58067
open,312,59767
open,311,59805
open,317,61269
open,319,62919
open,320,64756
open,314,64850
open,318,72954
close,317,59357
close,312,60544
close,315,61545
close,313,62391
close,311,62544
close,310,62837
close,314,63384
close,319,68587
close,316,77235
close,318,82090
read,325,24706
read,322,25284
read,323,25495
read,329,25939
read,324,26334
read,326,26524
read,321,26606
read,328,26748
read,327,27606
read,320,33882
write,323,43772
write,322,46386
write,326,46738
write,330,48541
write,327,48941
write,325,50816
write,329,52459
write,328,54566
write,324,56057
write,321,56914
open,326,53220
open,328,54259
open,324,56789
open,327,57587
open,329,58994
open,325,59351
open,321,60635
open,323,73421
open,322,79566
close,325,57260
close,327,58290
close,321,60285
close,329,60606
close,324,61401
close,323,64629
close,328,66753
close,320,68238
close,326,83943
close,322,89388
read,339,24189
read,330,24257
read,331,24463
read,336,25069
read,337,25197
read,338,25361
read,335,25676
read,332,25774
read,333,26332
read,334,29943
write,331,46690
write,335,49692
write,334,50528
write,338,51034
write,332,52108
write,333,52165
write,339,52586
write,340,52924
write,337,54667
write,336,55110
open,331,55456
open,338,55889
open,334,55907
open,336,55930
open,333,55993
open,332,56524
open,339,56872
open,337,57336
open,330,57403
open,335,58653
close,330,58127
close,338,59483
close,332,59753
close,333,60011
close,337,60420
close,336,60746
close,335,60924
close,334,61929
close,331,66412
read,340,23188
read,346,23576
read,343,23588
read,341,23972
read,348,24198
read,347,24644
read,345,25007
read,344,25328
read,342,40897
write,350,47768
write,343,48338
write,346,48614
write,347,50335
write,342,50454
write,349,51978
write,345,53042
write,341,54977
write,348,55500
write,344,58123
open,346,55817
open,348,57401
open,341,57649
open,340,57743
open,345,58699
open,349,61999
open,342,67515
open,344,69001
open,347,69686
open,343,81087
close,339,59488
close,345,60587
close,341,60672
close,340,61220
close,342,61659
close,346,61868
close,343,63404
close,344,66096
close,348,66547
close,347,75330
read,355,23199
read,352,23221
read,354,23265
read,351,23732
read,356,24289
read,350,24346
read,353,24427
read,357,24831
read,358,26202
read,349,27488
write,355,44049
write,354,44651
write,351,45552
write,359,46719
write,358,46930
write,353,48677
write,356,48877
write,357,49307
write,352,51619
open,358,53981
open,354,54603
open,353,55453
open,356,55721
open,355,55940
open,352,56747
open,351,57294
open,359,58343
open,350,58786
open,357,60357
close,355,59158
close,351,59562
close,357,60236
close,354,61165
close,353,61302
close,356,61369
close,352,61587
close,358,63164
close,349,63790
close,350,65434
read,361,22847
read,360,23309
read,365,23353
read,362,23892
read,367,23928
read,366,24031
read,364,24054
read,363,24417
read,359,26149
read,368,26958
write,367,43362
write,363,43892
write,362,44586
write,366,45840
write,360,48733
write,365,49773
write,361,50807
write,368,51087
write,369,52313
write,364,56093
open,364,54391
open,368,55048
open,366,55372
open,367,55888
open,365,56008
open,360,57434
open,361,57966
open,362,58226
open,363,58779
close,365,56814
close,361,57027
close,367,59505
close,359,59510
close,366,59962
close,363,60088
close,364,60773
close,360,61441
close,368,63514
close,362,76833
read,370,24793
read,377,24907
read,371,25332
read,374,25474
read,375,25657
read,369,25711
read,373,26021
read,372,26616
read,378,26687
read,376,27024
write,379,47080
write,375,47267
write,370,47329
write,371,48068
write,378,50430
write,372,51671
write,374,51889
write,373,54077
write,376,54140
write,377,54496
open,372,55780
open,373,56598
open,371,56679
open,369,57051
open,376,57172
open,374,57395
open,375,57706
open,370,58164
open,378,61713
open,377,69133
close,375,58869
close,371,59457
close,374,61228
close,377,61626
close,370,61722
close,378,62571
close,373,62892
close,369,63442
close,376,64078
close,372,64405
read,379,24523
read,384,25001
read,382,25026
read,381,25475
read,380,26191
read,383,26354
read,386,26775
read,388,27092
read,387,27248
read,385,40540
write,382,47611
write,383,48039
write,386,48130
write,385,51013
write,381,51208
write,389,51522
write,387,51992
write,384,52067
write,380,52680
write,388,54188
open,379,54203
open,380,54779
open,383,54913
open,385,55647
open,382,55697
open,388,55754
open,384,56439
open,381,58118
open,387,58489
open,386,62038
close,381,56005
close,379,57576
close,383,57836
close,387,58802
close,384,59417
close,380,59856
close,382,60201
close,386,61534
close,385,65024
read,397,21865
read,393,22200
read,392,22269
read,391,22783
read,395,23212
read,396,23718
read,394,24730
read,390,25402
read,389,28077
write,395,45372
write,394,49081
write,390,49323
write,398,49917
write,391,51567
write,396,53316
write,393,53684
write,392,53904
write,397,55148
write,399,68647
open,391,55046
open,390,56141
open,394,56464
open,392,56908
open,389,56941
open,396,57374
open,398,57846
open,395,57998
open,393,60759
open,397,62111
close,391,57854
close,389,58551
close,390,58870
close,395,59299
close,393,59695
close,394,59732
close,388,60317
close,392,60344
close,396,60432
close,397,61295
read,401,22387
read,399,23131
read,400,23365
read,403,24180
read,405,24189
read,406,24358
read,404,24701
read,407,25142
read,402,25354
read,398,27294
write,407,44156
write,406,44829
write,403,45743
write,402,46472
write,405,48057
write,400,48843
write,401,49084
write,408,50463
write,404,58555
open,405,52849
open,400,53540
open,403,55812
open,404,55840
open,408,56427
open,399,60890
open,407,64286
open,406,68489
open,402,69484
open,401,71462
close,405,56364
close,400,56838
close,403,57726
close,399,58092
close,402,59150
close,404,59795
close,407,60046
close,401,61362
close,398,66162
close,406,72427
read,412,23458
read,410,23964
read,414,24012
read,409,24372
read,411,24738
read,413,24758
read,416,24912
read,415,24936
read,408,25472
read,417,26324
write,410,44353
write,414,45100
write,418,45156
write,411,45461
write,413,46926
write,415,47578
write,409,48577
write,412,51302
